"Participant","Date","Difficulty","TotalScore","Flight","Bonus","Mine","Fortress","NumberofBonus","NumberofMine","Bonus_Prct","Mine_Prct","FortressShot","NumberOfShots","NumberOfActions"
"131","2023-02-08_12-16-35","multitask",-485,-1705,150,570,500,15,20,33.3333333333333,60,42,84,274
"131","2023-02-08_12-20-00","monotask",-1075,-1825,0,0,750,0,0,NA,NA,47,72,238
"131","2023-02-08_12-23-16","multitask",-330,-1680,300,550,500,11,18,45.4545454545455,55.5555555555556,48,99,294
"131","2023-02-08_12-26-37","monotask",-850,-1600,0,0,750,0,0,NA,NA,47,75,256
"131","2023-02-08_12-29-57","multitask",-380,-1700,400,420,500,9,17,77.7777777777778,52.9411764705882,40,97,281
"132","2023-02-08_17-51-11","monotask",-330,-580,0,0,250,0,0,NA,NA,32,81,293
"132","2023-02-08_17-54-43","multitask",-395,-765,50,320,0,14,16,14.2857142857143,56.25,13,62,285
"132","2023-02-08_17-58-10","monotask",-430,-680,0,0,250,0,0,NA,NA,30,69,290
"132","2023-02-08_18-01-40","multitask",-590,-930,150,190,0,11,15,27.2727272727273,53.3333333333333,16,56,286
"132","2023-02-08_18-04-53","monotask",-530,-1030,0,0,500,0,0,NA,NA,39,73,258
"132","2023-02-08_18-08-44","multitask",135,-775,200,460,250,14,16,35.7142857142857,68.75,25,80,261
"132","2023-02-08_18-11-57","monotask",230,-520,0,0,750,0,0,NA,NA,46,77,268
"132","2023-02-08_18-15-03","multitask",120,-670,100,440,250,12,16,25,62.5,26,68,274
"132","2023-02-08_18-18-14","monotask",125,-625,0,0,750,0,0,NA,NA,39,63,273
"132","2023-02-08_18-21-21","multitask",810,-470,200,830,250,16,18,18.75,88.8888888888889,23,67,270
"133","2023-02-14_18-47-22","monotask",360,-140,0,0,500,0,0,NA,NA,40,96,307
"133","2023-02-14_18-51-17","multitask",-25,-755,-100,580,250,17,18,5.88235294117647,72.2222222222222,18,78,309
"133","2023-02-14_18-54-42","monotask",-480,-730,0,0,250,0,0,NA,NA,25,96,357
"133","2023-02-14_18-57-57","multitask",-280,-1320,300,490,250,17,16,35.2941176470588,62.5,23,81,339
"133","2023-02-14_19-01-19","monotask",-280,-1030,0,0,750,0,0,NA,NA,51,139,418
"133","2023-02-14_19-04-31","multitask",-485,-1265,0,530,250,12,17,16.6666666666667,58.8235294117647,27,95,358
"133","2023-02-14_19-08-10","monotask",225,-525,0,0,750,0,0,NA,NA,51,96,350
"133","2023-02-14_19-11-23","multitask",-235,-1245,500,260,250,13,17,53.8461538461538,52.9411764705882,23,75,323
"133","2023-02-14_19-14-49","monotask",-685,-1435,0,0,750,0,0,NA,NA,42,98,345
"133","2023-02-14_19-18-03","multitask",90,-1300,200,690,500,10,20,40,65,28,87,331
"134","2023-03-15_17-25-33","monotask",915,-85,0,0,1000,0,0,NA,NA,54,98,344
"134","2023-03-15_17-29-17","multitask",1330,-350,200,980,500,15,22,33.3333333333333,86.3636363636364,33,95,326
"134","2023-03-15_17-32-34","monotask",1500,0,0,0,1500,0,0,NA,NA,78,112,342
"134","2023-03-15_17-35-44","multitask",1330,-220,150,900,500,12,19,33.3333333333333,89.4736842105263,34,96,346
"134","2023-03-15_17-39-06","monotask",2000,0,0,0,2000,0,0,NA,NA,99,143,342
"134","2023-03-15_17-42-15","multitask",1010,-350,250,610,500,12,19,33.3333333333333,68.4210526315789,35,89,330
"134","2023-03-15_17-45-41","monotask",2250,0,0,0,2250,0,0,NA,NA,109,158,382
"134","2023-03-15_17-48-48","multitask",910,-350,250,510,500,12,20,33.3333333333333,60,43,107,334
"134","2023-03-15_17-52-11","monotask",1650,-100,0,0,1750,0,0,NA,NA,94,152,377
"134","2023-03-15_17-55-37","multitask",1190,-650,300,790,750,14,20,35.7142857142857,75,45,89,324
"135","2023-03-16_17-06-45","monotask",-850,-1100,0,0,250,0,0,NA,NA,21,62,248
"135","2023-03-16_17-10-41","multitask",-2280,-2430,100,50,0,11,15,18.1818181818182,33.3333333333333,11,57,240
"135","2023-03-16_17-14-05","monotask",-305,-555,0,0,250,0,0,NA,NA,19,71,285
"135","2023-03-16_17-17-26","multitask",-885,-1435,350,200,0,12,16,58.3333333333333,50,10,57,257
"135","2023-03-16_17-20-51","monotask",-750,-1250,0,0,500,0,0,NA,NA,33,89,282
"135","2023-03-16_17-24-15","multitask",-195,-995,400,150,250,10,15,50,46.6666666666667,22,71,255
"135","2023-03-16_17-27-35","monotask",-80,-580,0,0,500,0,0,NA,NA,31,79,300
"135","2023-03-16_17-31-03","multitask",-1435,-2235,400,150,250,16,16,37.5,37.5,23,65,256
"135","2023-03-16_17-34-22","monotask",-10,-260,0,0,250,0,0,NA,NA,21,68,304
"135","2023-03-16_17-37-34","multitask",760,-540,500,550,250,13,17,46.1538461538462,76.4705882352941,20,70,307
"136","2023-03-23_17-02-58","monotask",1950,-50,0,0,2000,0,0,NA,NA,107,184,503
"136","2023-03-23_17-06-26","multitask",550,-1040,150,690,750,11,19,36.3636363636364,78.9473684210526,46,133,470
"136","2023-03-23_17-09-47","monotask",1650,-350,0,0,2000,0,0,NA,NA,120,205,505
"136","2023-03-23_17-13-06","multitask",2690,-150,750,1090,1000,14,21,64.2857142857143,95.2380952380952,56,148,497
"136","2023-03-23_17-16-21","monotask",2100,-400,0,0,2500,0,0,NA,NA,124,232,515
"136","2023-03-23_17-19-31","multitask",890,-650,200,590,750,9,19,44.4444444444444,73.6842105263158,63,147,441
"136","2023-03-23_17-22-44","monotask",2515,-485,0,0,3000,0,0,NA,NA,174,283,544
"136","2023-03-23_17-25-52","multitask",2490,-220,300,910,1500,9,20,55.5555555555556,90,71,153,489
"136","2023-03-23_17-29-06","monotask",3950,-50,0,0,4000,0,0,NA,NA,221,299,533
"136","2023-03-23_17-32-18","multitask",3400,-50,750,1200,1500,11,22,90.9090909090909,100,85,200,543
"137","2023-03-28_15-24-02","monotask",-525,-525,0,0,0,0,0,NA,NA,36,94,351
"137","2023-03-28_15-27-37","multitask",-1055,-1605,100,450,0,10,19,20,57.8947368421053,19,71,330
"137","2023-03-28_15-31-04","monotask",-120,-370,0,0,250,0,0,NA,NA,37,104,367
"137","2023-03-28_15-34-14","multitask",-530,-1320,250,540,0,15,20,33.3333333333333,55,12,60,351
"137","2023-03-28_15-37-30","monotask",-325,-575,0,0,250,0,0,NA,NA,23,88,371
"137","2023-03-28_15-41-00","multitask",-285,-1175,350,540,0,15,17,33.3333333333333,70.5882352941177,10,59,317
"137","2023-03-28_15-44-21","monotask",345,-155,0,0,500,0,0,NA,NA,36,101,339
"137","2023-03-28_15-47-34","multitask",125,-645,150,620,0,18,19,11.1111111111111,68.4210526315789,8,62,259
"137","2023-03-28_15-50-53","monotask",395,-105,0,0,500,0,0,NA,NA,27,88,297
"137","2023-03-28_15-54-04","multitask",-325,-1105,100,680,0,15,19,13.3333333333333,73.6842105263158,9,74,265
"138","2023-03-29_18-59-22","monotask",195,-805,0,0,1000,0,0,NA,NA,56,84,333
"138","2023-03-29_19-02-41","multitask",1085,-735,300,770,750,16,21,43.75,66.6666666666667,41,82,335
"138","2023-03-29_19-06-24","monotask",-1135,-1635,0,0,500,0,0,NA,NA,45,84,320
"138","2023-03-29_19-09-36","multitask",675,-995,350,820,500,11,19,45.4545454545455,78.9473684210526,26,67,332
"138","2023-03-29_19-13-02","monotask",0,-1000,0,0,1000,0,0,NA,NA,53,78,259
"138","2023-03-29_19-16-11","multitask",1085,-665,400,850,500,15,19,53.3333333333333,84.2105263157895,32,70,305
"138","2023-03-29_19-19-35","monotask",605,-395,0,0,1000,0,0,NA,NA,60,108,257
"138","2023-03-29_19-22-47","multitask",1120,-660,350,680,750,9,19,55.5555555555556,73.6842105263158,47,98,314
"138","2023-03-29_19-26-05","monotask",1455,-295,0,0,1750,0,0,NA,NA,101,159,333
"138","2023-03-29_19-29-19","multitask",1340,-660,500,750,750,13,20,53.8461538461538,70,38,103,367
"139","2023-03-30_11-01-40","monotask",1250,0,0,0,1250,0,0,NA,NA,66,112,308
"139","2023-03-30_11-05-27","multitask",520,-310,200,380,250,10,17,30,64.7058823529412,34,84,344
"139","2023-03-30_11-09-27","monotask",965,-35,0,0,1000,0,0,NA,NA,60,148,361
"139","2023-03-30_11-13-01","multitask",1365,-85,450,500,500,12,16,41.6666666666667,75,37,97,363
"139","2023-03-30_11-16-41","monotask",1200,-50,0,0,1250,0,0,NA,NA,76,159,344
"139","2023-03-30_11-19-51","multitask",1420,-50,300,420,750,10,17,40,70.5882352941177,41,103,363
"139","2023-03-30_11-23-22","monotask",1750,0,0,0,1750,0,0,NA,NA,99,147,341
"139","2023-03-30_11-26-41","multitask",625,-335,750,-40,250,12,15,66.6666666666667,33.3333333333333,25,78,346
"139","2023-03-30_11-30-09","monotask",1250,0,0,0,1250,0,0,NA,NA,79,149,360
"139","2023-03-30_11-33-20","multitask",880,-310,100,340,750,11,17,18.1818181818182,58.8235294117647,44,113,353
"140","2023-03-31_17-09-03","monotask",1700,-50,0,0,1750,0,0,NA,NA,97,146,421
"140","2023-03-31_17-12-40","multitask",1320,-220,100,690,750,10,19,20,73.6842105263158,42,109,444
"140","2023-03-31_17-16-10","monotask",2065,-185,0,0,2250,0,0,NA,NA,112,165,463
"140","2023-03-31_17-19-25","multitask",1395,-785,250,680,1250,14,20,42.8571428571429,70,68,169,522
"140","2023-03-31_17-22-46","monotask",2425,-1075,0,0,3500,0,0,NA,NA,214,281,750
"140","2023-03-31_17-26-11","multitask",880,-400,0,530,750,9,19,33.3333333333333,63.1578947368421,55,149,511
"140","2023-03-31_17-29-26","monotask",1500,-750,0,0,2250,0,0,NA,NA,117,188,486
"140","2023-03-31_17-32-46","multitask",2195,-435,450,930,1250,12,20,50,90,60,121,475
"140","2023-03-31_17-36-11","monotask",2350,-400,0,0,2750,0,0,NA,NA,141,180,481
"140","2023-03-31_17-39-32","multitask",2060,-150,550,660,1000,15,19,46.6666666666667,78.9473684210526,72,156,441
"141","2023-04-05_11-56-59","monotask",-1540,-1790,0,0,250,0,0,NA,NA,23,59,298
"141","2023-04-05_12-00-23","multitask",-790,-1100,50,10,250,12,17,25,29.4117647058824,15,58,291
"141","2023-04-05_12-04-24","monotask",-865,-1365,0,0,500,0,0,NA,NA,38,78,332
"141","2023-04-05_12-07-51","multitask",-2045,-1855,50,-240,0,11,15,36.3636363636364,6.66666666666667,20,63,293
"141","2023-04-05_12-11-20","monotask",-985,-1485,0,0,500,0,0,NA,NA,27,61,286
"141","2023-04-05_12-14-38","multitask",-1830,-2050,0,220,0,9,18,22.2222222222222,33.3333333333333,22,98,328
"141","2023-04-05_12-17-52","monotask",-1215,-1965,0,0,750,0,0,NA,NA,63,134,366
"141","2023-04-05_12-21-14","multitask",-1510,-1760,-100,350,0,8,18,25,55.5555555555556,33,140,380
"141","2023-04-05_12-24-34","monotask",-675,-925,0,0,250,0,0,NA,NA,36,109,335
"141","2023-04-05_12-28-05","multitask",-1085,-2105,150,370,500,18,18,16.6666666666667,44.4444444444444,48,160,401
"142","2023-04-12_11-49-21","monotask",1565,-185,0,0,1750,0,0,NA,NA,91,182,491
"142","2023-04-12_11-52-30","multitask",445,-225,400,20,250,11,15,63.6363636363636,46.6666666666667,23,86,402
"142","2023-04-12_11-55-48","monotask",2115,-135,0,0,2250,0,0,NA,NA,133,241,552
"142","2023-04-12_11-58-57","multitask",2290,-370,650,1010,1000,11,22,90.9090909090909,86.3636363636364,50,163,506
"142","2023-04-12_12-02-13","monotask",1580,-420,0,0,2000,0,0,NA,NA,113,245,595
"142","2023-04-12_12-05-21","multitask",3025,-35,950,860,1250,14,18,92.8571428571429,94.4444444444444,79,198,558
"142","2023-04-12_12-08-41","monotask",3315,-185,0,0,3500,0,0,NA,NA,196,318,662
"142","2023-04-12_12-11-49","multitask",1345,-805,650,750,750,10,19,90,84.2105263157895,58,170,518
"142","2023-04-12_12-15-07","monotask",4115,-385,0,0,4500,0,0,NA,NA,244,338,674
"142","2023-04-12_12-18-15","multitask",1920,-400,400,670,1250,12,20,75,70,80,198,555
"143","2023-04-13_17-25-14","monotask",-300,-800,0,0,500,0,0,NA,NA,37,104,318
"143","2023-04-13_17-29-14","multitask",-1750,-1560,-50,-140,0,11,15,27.2727272727273,26.6666666666667,12,105,326
